id,name,hospital_name,address_x,address_y,expert,congestion,possible,url
23,伊藤 洋介,伊藤病院,1031,2752,耳鼻科,0.22742072431923666,1,http://www.saito.jp/
24,山本 裕美子,山本医院,7725,1769,眼科,0.008489544682641625,0,http://ishii.jp/
25,田中 修平,田中クリニック,2370,3497,内科,0.696212114592662,1,https://yamamoto.org/
26,田中 直子,田中病院,1217,1000,内科,0.3348031936789112,1,http://www.kato.jp/
27,吉田 治,吉田医院,6136,530,外科,0.21868418228082875,1,http://ota.jp/
28,後藤 学,後藤クリニック,8674,8327,内科,0.4178503074017159,0,http://www.yamazaki.jp/
29,渡辺 七夏,渡辺病院,8026,1553,外科,0.6821791713241003,1,https://www.suzuki.org/
30,田中 七夏,田中医院,6525,8405,耳鼻科,0.44426236688651166,1,https://hashimoto.org/
31,中村 健一,中村クリニック,6998,2528,眼科,0.12981803537944636,0,https://www.sato.jp/
32,小林 聡太郎,小林病院,1529,7183,内科,0.1325768320088726,1,https://sato.com/
33,田中 花子,田中医院,2323,3535,内科,0.9486416983368071,1,https://tanaka.net/
34,長谷川 和也,長谷川クリニック,8631,4858,外科,0.05456098789231856,1,http://suzuki.com/
35,青木 翼,青木病院,7700,8037,内科,0.7810447497445783,0,http://nakamura.com/
36,佐々木 太一,佐々木医院,9495,9974,外科,0.3821459108808678,1,https://sato.net/
37,松本 七夏,松本クリニック,775,9076,耳鼻科,0.4860104493084966,1,http://watanabe.net/
38,岡田 拓真,岡田病院,5399,4677,眼科,0.07358149264995151,0,http://www.takahashi.jp/
39,中村 舞,中村医院,4244,6377,内科,0.13962592077536728,1,http://www.nakajima.jp/
40,高橋 明美,高橋クリニック,8060,288,内科,0.9569009172018181,1,https://kato.jp/
41,加藤 康弘,加藤病院,9721,5939,外科,0.6568010190245017,1,http://www.fujiwara.com/
42,木村 香織,木村医院,2239,2948,内科,0.9668693957695681,0,https://endo.jp/
43,山崎 篤司,山崎クリニック,2441,7118,外科,0.839379464935872,1,https://watanabe.jp/
44,小林 くみ子,小林病院,5346,1131,耳鼻科,0.8022157628466344,1,https://www.inoue.com/
45,小林 涼平,小林医院,9960,4124,眼科,0.5840428690862032,0,http://kimura.com/
46,渡辺 裕太,渡辺クリニック,8532,3748,内科,0.3862577491354947,1,http://abe.jp/
47,小川 浩,小川病院,1130,306,内科,0.529489028222782,1,http://kimura.jp/
48,山崎 翔太,山崎医院,4758,8904,外科,0.08828663904122835,1,http://ito.com/
49,小川 裕美子,小川クリニック,1736,5548,内科,0.6264550342471901,0,https://www.maeda.jp/
50,鈴木 加奈,鈴木病院,5809,1099,外科,0.4955807812830647,1,https://www.sato.com/
51,林 真綾,林医院,6380,6530,耳鼻科,0.7450990645141932,1,http://www.fujiwara.jp/
52,橋本 幹,橋本クリニック,4875,976,眼科,0.5235473181293542,0,http://www.tanaka.com/
53,佐藤 零,佐藤病院,9293,1892,内科,0.28169788988800504,1,http://www.sato.com/
54,前田 太一,前田医院,1418,9028,内科,0.7478153105451446,1,http://watanabe.jp/
55,岡田 直子,岡田クリニック,2525,9535,外科,0.19608495599152265,1,https://www.ikeda.jp/
56,西村 千代,西村病院,17,6536,内科,0.6891890344453269,0,http://www.kimura.com/
57,藤田 英樹,藤田医院,1921,9324,外科,0.07481427297371601,1,https://www.takahashi.net/
58,田中 花子,田中クリニック,8427,4922,耳鼻科,0.5298577586824286,1,http://aoki.org/
59,松本 結衣,松本病院,4729,3153,眼科,0.9935861590596586,0,https://www.ogawa.jp/
60,高橋 加奈,高橋医院,802,3134,内科,0.6069386363678008,1,http://www.hashimoto.jp/
61,山田 直人,山田クリニック,32,6400,内科,0.07185002625546388,1,http://www.sasaki.com/
62,伊藤 あすか,伊藤病院,9107,5180,外科,0.5903369897196342,1,https://www.suzuki.jp/
63,斉藤 七夏,斉藤医院,4506,165,内科,0.25339829474373665,0,http://www.hasegawa.com/
64,長谷川 裕美子,長谷川クリニック,6795,6898,外科,0.9646214822336231,1,https://www.nishimura.net/
65,木村 聡太郎,木村病院,3317,8975,耳鼻科,0.5398691213355652,1,https://sato.jp/
66,中川 春香,中川医院,8331,846,眼科,0.38615025947846027,0,https://yamashita.org/
67,吉田 美加子,吉田クリニック,375,4824,内科,0.456159802523719,1,https://okada.org/
68,田中 和也,田中病院,116,3277,内科,0.48294018946931505,1,https://yamamoto.jp/
69,長谷川 充,長谷川医院,2011,4500,外科,0.7292630780811642,1,http://hayashi.com/
70,小林 陽一,小林クリニック,8433,6191,内科,0.3622816944058511,0,https://yamaguchi.jp/
71,中村 桃子,中村病院,9384,8463,外科,0.20491544051681265,1,https://www.yamashita.org/
72,佐藤 加奈,佐藤医院,235,4942,耳鼻科,0.5719434926453568,1,https://www.nakamura.com/
73,山崎 涼平,山崎クリニック,667,3241,眼科,0.9383308169960086,0,http://yoshida.com/
74,高橋 晃,高橋病院,9136,9440,内科,0.8288467444376498,1,http://takahashi.jp/
75,山本 春香,山本医院,7973,1399,内科,0.6471265996555918,1,http://www.goto.jp/
76,岡田 里佳,岡田クリニック,3721,8484,外科,0.05763559732899004,1,http://www.yamada.org/
77,鈴木 洋介,鈴木病院,2118,7013,内科,0.8770454322603342,0,https://www.yoshida.jp/
78,鈴木 香織,鈴木医院,1443,9875,外科,0.9892875722555233,1,http://sato.net/
79,福田 花子,福田クリニック,4688,1810,耳鼻科,0.40271211081549674,1,https://www.ishikawa.com/
80,佐藤 稔,佐藤病院,9366,4342,眼科,0.3504935072528532,0,http://www.goto.com/
81,加藤 里佳,加藤医院,5578,8756,内科,0.4473144023097725,1,http://sato.com/
82,三浦 晃,三浦クリニック,4541,1195,内科,0.45421973102266455,1,https://goto.jp/
83,阿部 涼平,阿部病院,1551,6473,外科,0.19687897750851735,1,http://www.saito.jp/
84,岡田 春香,岡田医院,5150,8798,内科,0.44844597276013753,0,http://www.suzuki.com/
85,藤田 京助,藤田クリニック,9434,1122,外科,0.009898840967826228,1,https://yoshida.com/
86,小川 涼平,小川病院,9709,7280,耳鼻科,0.15730071714727967,1,http://okamoto.jp/
87,渡辺 あすか,渡辺医院,7180,1791,眼科,0.20356532924396686,0,http://www.ikeda.net/
88,鈴木 香織,鈴木クリニック,8831,9461,内科,0.6140983383880018,1,https://www.ishikawa.org/
89,林 香織,林病院,1589,1028,内科,0.9275328378308981,1,http://www.takahashi.jp/
90,藤原 翔太,藤原医院,3176,7720,外科,0.7721816662116743,1,https://www.nakamura.jp/
91,鈴木 充,鈴木クリニック,3579,7213,内科,0.31366527809298084,0,http://matsumoto.jp/
92,森 花子,森病院,1565,1736,外科,0.016291672945382918,1,https://www.suzuki.com/
93,清水 舞,清水医院,7267,7523,耳鼻科,0.8749709499807274,1,http://hashimoto.org/
94,前田 浩,前田クリニック,3078,600,眼科,0.4418990066196954,0,http://ishikawa.jp/
95,坂本 知実,坂本病院,5257,2963,内科,0.9309921988402996,1,https://www.ito.jp/
96,阿部 知実,阿部医院,288,56,内科,0.8976579103536819,1,http://kobayashi.jp/
97,岡本 幹,岡本クリニック,2383,5629,外科,0.35192790724283673,1,http://www.miura.jp/
98,鈴木 春香,鈴木病院,8018,747,内科,0.6309522620812583,0,https://www.yamaguchi.org/
99,佐藤 桃子,佐藤医院,3344,2512,外科,0.7747252397100798,1,https://www.suzuki.jp/
100,前田 裕太,前田クリニック,742,7006,耳鼻科,0.24552541144439832,1,http://miura.org/
101,長谷川 晃,長谷川病院,795,1448,眼科,0.46625732891497784,0,http://kondo.com/
102,福田 幹,福田医院,4601,9175,内科,0.108359675718678,1,http://www.kimura.jp/
103,佐々木 篤司,佐々木クリニック,3981,2162,内科,0.441018713008991,1,https://nakamura.org/
104,池田 稔,池田病院,5250,2312,外科,0.47513790785890686,1,https://www.ishikawa.jp/
105,福田 零,福田医院,6013,7424,内科,0.04485829199820979,0,http://www.sato.jp/
106,山本 あすか,山本クリニック,3179,5414,外科,0.785140708362036,1,http://www.nishimura.com/
107,鈴木 涼平,鈴木病院,4566,2349,耳鼻科,0.7024763527196088,1,http://yoshida.jp/
108,松田 陽子,松田医院,3056,4361,眼科,0.3715234505648519,0,http://sato.net/
109,斎藤 明美,斎藤クリニック,14,3394,内科,0.9124721621780559,1,http://www.fujiwara.jp/
110,山下 里佳,山下病院,9245,762,内科,0.5887154101506227,1,http://www.watanabe.com/
111,佐藤 翔太,佐藤医院,1924,7186,外科,0.9608232263570429,1,http://yoshida.net/
112,田中 浩,田中クリニック,6836,4595,内科,0.7137877120687416,0,https://www.fujiwara.jp/
113,伊藤 あすか,伊藤病院,1926,8292,外科,0.05571490529352385,1,http://www.inoue.com/
114,井上 英樹,井上医院,4995,5749,耳鼻科,0.2206208513905057,1,https://www.ogawa.jp/
115,山本 涼平,山本クリニック,3249,4586,眼科,0.7750919137501101,0,http://yamada.com/
116,坂本 和也,坂本病院,8533,2461,内科,0.1196574790523548,1,http://fujii.jp/
117,森 亮介,森医院,944,557,内科,0.33154734782402795,1,http://ikeda.net/
118,伊藤 美加子,伊藤クリニック,3789,7692,外科,0.24179229577791872,1,http://www.goto.com/
119,斉藤 淳,斉藤病院,8342,1170,内科,0.5778417450075355,0,https://www.fujita.com/
120,松本 修平,松本医院,5590,7350,外科,0.8356472182060809,1,https://yamazaki.com/
121,石川 知実,石川クリニック,1875,1506,耳鼻科,0.13601581893148074,1,https://hasegawa.net/
122,渡辺 陽一,渡辺病院,4114,9145,眼科,0.4093988863193124,0,https://kobayashi.jp/
123,佐藤 健一,佐藤医院,7431,926,内科,0.1728133771707402,1,https://www.tanaka.jp/
124,田中 充,田中クリニック,7321,8218,内科,0.010442182354260199,1,https://watanabe.net/
125,山下 英樹,山下病院,7587,9624,外科,0.6900765846235738,1,http://www.takahashi.jp/
126,高橋 修平,高橋医院,7298,9682,内科,0.6239143891320206,0,https://takahashi.com/
127,斎藤 陽子,斎藤クリニック,2158,2022,外科,0.6309810865570283,1,https://sato.net/
128,小林 亮介,小林病院,6902,9793,耳鼻科,0.20912247737150846,1,https://www.yamaguchi.org/
129,佐藤 直人,佐藤医院,5108,2248,眼科,0.48351761258791737,0,http://www.watanabe.net/
130,三浦 桃子,三浦クリニック,7934,4362,内科,0.9496679929790294,1,http://sato.com/
131,山本 学,山本病院,3118,722,内科,0.24420924143359213,1,http://www.fujiwara.net/
132,佐藤 知実,佐藤医院,1027,8480,外科,0.8188924375194596,1,http://www.ogawa.com/
133,伊藤 結衣,伊藤クリニック,7903,1820,内科,0.25108570352416626,0,http://www.nakagawa.jp/
134,橋本 修平,橋本病院,6255,6408,外科,0.9626211266127055,1,http://ishikawa.com/
135,加藤 春香,加藤医院,8574,4245,耳鼻科,0.3610367158482366,1,https://www.takahashi.jp/
136,山口 直子,山口クリニック,8266,1212,眼科,0.8675483372377193,0,http://saito.com/
137,井上 康弘,井上病院,743,3391,内科,0.3236555582122257,1,http://endo.com/
138,佐藤 陽一,佐藤医院,4718,6294,内科,0.3497843281189029,1,https://kobayashi.jp/
139,中村 裕美子,中村クリニック,6697,1902,外科,0.33210484904923676,1,http://kimura.jp/
140,田中 浩,田中病院,4103,8317,内科,0.9104396983492818,0,http://watanabe.jp/
141,太田 洋介,太田医院,5082,341,外科,0.43038521229833593,1,http://www.ito.jp/
142,田中 翼,田中クリニック,7182,6757,耳鼻科,0.9043331956899806,1,https://www.kobayashi.jp/
143,山崎 加奈,山崎病院,9132,2981,眼科,0.5050278241367662,0,http://sato.com/
144,清水 くみ子,清水医院,1312,5117,内科,0.21782351582692372,1,http://www.sato.jp/
145,鈴木 零,鈴木クリニック,4590,5704,内科,0.7818011864321314,1,http://www.takahashi.com/
146,中村 英樹,中村病院,5638,3583,外科,0.8438329348644443,1,https://www.hashimoto.com/
147,坂本 健一,坂本医院,8822,2008,内科,0.6460003807924836,0,http://www.abe.com/
148,小川 真綾,小川クリニック,1848,5782,外科,0.13886158123726455,1,https://tanaka.jp/
149,中島 直子,中島病院,709,7087,耳鼻科,0.5236951971978129,1,https://www.kobayashi.org/
150,佐藤 晃,佐藤医院,7997,2086,眼科,0.6963222176710652,0,https://kobayashi.com/
151,吉田 稔,吉田クリニック,2123,1564,内科,0.6302371385723194,1,http://www.hashimoto.jp/
152,近藤 千代,近藤病院,4731,107,内科,0.35703421355988685,1,http://www.sato.jp/
153,池田 千代,池田医院,8689,4092,外科,0.23013086136463645,1,https://suzuki.com/
154,渡辺 加奈,渡辺クリニック,7284,859,内科,0.43459795179641214,0,https://www.kimura.com/
155,高橋 充,高橋病院,553,7530,外科,0.8283910657538303,1,http://yoshida.org/
156,鈴木 京助,鈴木医院,238,4513,耳鼻科,0.6067379899795242,1,http://www.sato.com/
157,小林 花子,小林クリニック,5621,4066,眼科,0.10064807137114729,0,http://www.shimizu.org/
158,木村 零,木村病院,7200,6408,内科,0.3350196811670535,1,http://www.kato.org/
159,藤原 裕美子,藤原医院,8578,1478,内科,0.5416564839254348,1,http://nakamura.jp/
160,小林 花子,小林クリニック,1462,8453,外科,0.7797359233681332,1,https://www.kato.jp/
161,渡辺 充,渡辺病院,4497,3374,内科,0.9059767912333305,0,http://www.ishikawa.org/
162,山口 千代,山口医院,690,3571,外科,0.8697336600594662,1,https://www.ota.jp/
163,三浦 直樹,三浦クリニック,2052,7835,耳鼻科,0.5900576882225359,1,http://www.takahashi.com/
164,小林 七夏,小林病院,6479,3942,眼科,0.7459797477856783,0,http://www.hashimoto.net/
165,山崎 裕美子,山崎医院,4318,3024,内科,0.4326829417588123,1,https://www.kondo.jp/
166,小林 康弘,小林クリニック,2270,4924,内科,0.9953710339424923,1,https://hayashi.jp/
167,田中 直子,田中病院,7993,1416,外科,0.147722531619082,1,https://goto.jp/
168,藤田 幹,藤田医院,5402,7228,内科,0.23786590083474746,0,http://yamada.com/
169,伊藤 千代,伊藤クリニック,5159,8743,外科,0.661193977291058,1,http://www.yamazaki.net/
170,山口 太郎,山口病院,9825,752,耳鼻科,0.4974694027984753,1,http://goto.jp/
171,池田 英樹,池田医院,1269,9478,眼科,0.27905012701468457,0,http://www.takahashi.jp/
172,斉藤 零,斉藤クリニック,8404,571,内科,0.9557651026460232,1,https://murakami.jp/
173,石井 洋介,石井病院,7241,1549,内科,0.24047415663967975,1,http://sato.com/
174,中川 健一,中川医院,636,1398,外科,0.19558046865739154,1,https://kimura.jp/
175,山口 裕美子,山口クリニック,3389,8672,内科,0.19570664829962636,0,http://watanabe.com/
176,佐々木 美加子,佐々木病院,2993,3604,外科,0.8385721254871434,1,https://fujiwara.com/
177,伊藤 智也,伊藤医院,3853,7188,耳鼻科,0.6901069741724043,1,http://www.kato.com/
178,橋本 太郎,橋本クリニック,2852,888,眼科,0.5240339394125091,0,https://www.takahashi.com/
179,森 和也,森病院,5245,1716,内科,0.719385402421226,1,https://www.hashimoto.jp/
180,岡本 加奈,岡本医院,4571,9789,内科,0.7455113534566746,1,http://www.sasaki.com/
181,山本 真綾,山本クリニック,4308,6376,外科,0.8176956130728855,1,https://www.saito.jp/
182,斉藤 裕樹,斉藤病院,4287,9052,内科,0.2501339038296466,0,http://www.yamamoto.jp/
183,太田 智也,太田医院,1062,5558,外科,0.9870452231375567,1,http://takahashi.jp/
184,斎藤 陽子,斎藤クリニック,1023,5934,耳鼻科,0.8244608301147135,1,http://saito.net/
185,三浦 里佳,三浦病院,268,8738,眼科,0.933615124300064,0,https://okada.jp/
186,小林 亮介,小林医院,4637,8386,内科,0.6694444741777241,1,http://www.tanaka.jp/
187,中島 零,中島クリニック,6261,5756,内科,0.9443851237482518,1,http://kobayashi.com/
188,山崎 加奈,山崎病院,7602,1061,外科,0.847592038884491,1,http://www.takahashi.com/
189,渡辺 美加子,渡辺医院,7036,6203,内科,0.10848867935817863,0,https://suzuki.com/
190,山本 さゆり,山本クリニック,1096,9689,外科,0.8144786572730295,1,http://okada.net/
191,中村 零,中村病院,530,6024,耳鼻科,0.5277491608397216,1,http://www.hayashi.org/
192,清水 太一,清水医院,7249,1333,眼科,0.9382676547496029,0,https://www.yoshida.com/
193,小林 浩,小林クリニック,6211,2932,内科,0.9732919133275763,1,https://www.matsuda.com/
194,長谷川 直子,長谷川病院,7739,4807,内科,0.9249395458263902,1,https://www.takahashi.com/
195,田中 学,田中医院,1952,5007,外科,0.9668564523146701,1,https://matsumoto.com/
196,高橋 淳,高橋クリニック,7986,3560,内科,0.00789893789267504,0,http://takahashi.com/
197,高橋 結衣,高橋病院,9542,883,外科,0.6358833610587484,1,https://www.ito.net/
198,鈴木 知実,鈴木医院,8818,3687,耳鼻科,0.04342173265112592,1,https://aoki.jp/
199,藤田 翔太,藤田クリニック,1557,5054,眼科,0.7765876466030406,0,http://www.mori.com/
200,遠藤 康弘,遠藤病院,3432,9688,内科,0.2612480736402164,1,http://endo.jp/
201,佐藤 淳,佐藤医院,2005,4701,内科,0.11135601291842423,1,https://www.nakamura.com/
202,伊藤 里佳,伊藤クリニック,8649,9380,外科,0.4826247419794909,1,http://sato.net/
203,佐藤 学,佐藤病院,792,9394,内科,0.7383950415303416,0,https://yoshida.jp/
204,林 陽子,林医院,8180,9751,外科,0.6125198656827905,1,http://www.matsumoto.org/
205,三浦 太一,三浦クリニック,1727,9670,耳鼻科,0.7812707319313488,1,http://www.ito.com/
206,佐藤 千代,佐藤病院,6524,5339,眼科,0.8227803264255767,0,http://takahashi.jp/
207,鈴木 春香,鈴木医院,1419,6735,内科,0.47330971869698524,1,https://suzuki.org/
208,井上 聡太郎,井上クリニック,5234,3645,内科,0.9313447437819281,1,https://www.miura.org/
209,山田 直樹,山田病院,7626,2516,外科,0.9953752723799838,1,https://okada.com/
210,池田 零,池田医院,2963,6535,内科,0.13768156158904088,0,https://www.nakamura.jp/
211,坂本 太郎,坂本クリニック,4943,1537,外科,0.12729263295493787,1,http://abe.jp/
212,田中 康弘,田中病院,5645,5327,耳鼻科,0.9452461312554978,1,https://www.yamashita.com/
213,田中 陽子,田中医院,6536,4354,眼科,0.47945974541296665,0,http://www.ota.net/
214,佐藤 学,佐藤クリニック,2479,1558,内科,0.673651962148093,1,http://ito.org/
215,吉田 加奈,吉田病院,3193,1596,内科,0.35040984722226975,1,https://ogawa.net/
216,高橋 明美,高橋医院,1525,1404,外科,0.012073554140909715,1,http://www.sasaki.net/
217,渡辺 春香,渡辺クリニック,205,8050,内科,0.6181522282855715,0,http://ito.org/
218,中村 充,中村病院,9604,9194,外科,0.6312869435533415,1,http://www.yamamoto.net/
219,清水 花子,清水医院,2256,855,耳鼻科,0.8117519722745669,1,https://yamaguchi.com/
220,佐藤 七夏,佐藤クリニック,5580,8068,眼科,0.08439019650844837,0,http://okada.net/
221,岡本 舞,岡本病院,9350,9496,内科,0.5631780690191565,1,http://www.takahashi.jp/
222,橋本 直人,橋本医院,8777,9611,内科,0.6006367015168892,1,http://yamada.com/
223,林 篤司,林クリニック,8330,5157,外科,0.5038818874219464,1,https://www.ito.com/
224,高橋 京助,高橋病院,6072,4156,内科,0.11511074350616934,0,http://www.tanaka.com/
225,伊藤 陽子,伊藤医院,700,1044,外科,0.12283947390519401,1,http://www.watanabe.net/
226,井上 くみ子,井上クリニック,6573,7553,耳鼻科,0.11361074635434898,1,http://www.suzuki.jp/
227,福田 修平,福田病院,8242,9619,眼科,0.43515259477092705,0,http://www.inoue.com/
228,加藤 桃子,加藤医院,1027,828,内科,0.1609347588444774,1,https://kobayashi.jp/
229,三浦 零,三浦クリニック,1065,4779,内科,0.18078377619245167,1,http://www.shimizu.org/
230,佐々木 和也,佐々木病院,4076,1906,外科,0.02678212291518145,1,https://www.endo.net/
231,鈴木 学,鈴木医院,4927,582,内科,0.38090862273057513,0,https://www.ito.jp/
232,鈴木 学,鈴木クリニック,4239,1987,外科,0.23097943259321319,1,http://www.takahashi.com/
233,伊藤 香織,伊藤病院,3048,7539,耳鼻科,0.49881480189537397,1,http://suzuki.jp/
234,橋本 千代,橋本医院,4195,4125,眼科,0.6847183327021782,0,http://fukuda.com/
235,石川 淳,石川クリニック,4011,6013,内科,0.5019940317553527,1,http://ito.org/
236,佐藤 聡太郎,佐藤病院,7979,3480,内科,0.13852545218004575,1,http://www.hasegawa.jp/
237,後藤 学,後藤医院,7221,9057,外科,0.7755675208327565,1,https://ogawa.org/
238,鈴木 七夏,鈴木クリニック,2746,568,内科,0.5460685904983353,0,http://watanabe.jp/
239,松田 晃,松田病院,2787,5653,外科,0.9716257814686808,1,https://yamazaki.com/
240,鈴木 桃子,鈴木医院,9774,4549,耳鼻科,0.42957025642323576,1,https://www.goto.com/
241,伊藤 裕太,伊藤クリニック,8548,5116,眼科,0.7447697621786733,0,https://yamamoto.net/
242,中村 洋介,中村病院,3820,1379,内科,0.09349801402957336,1,https://www.matsuda.jp/
243,小林 千代,小林医院,2888,3168,内科,0.059313283398711114,1,https://www.ota.org/
244,佐々木 英樹,佐々木クリニック,2314,5876,外科,0.8097341586426683,1,http://www.nakamura.jp/
245,中川 稔,中川病院,5764,6049,内科,0.2911989544947806,0,https://www.endo.jp/
246,小林 英樹,小林医院,1438,8613,外科,0.7258217127877702,1,http://tanaka.org/
247,近藤 さゆり,近藤クリニック,7926,8815,耳鼻科,0.37545348959345604,1,https://inoue.com/
248,福田 裕太,福田病院,9345,4675,眼科,0.7122594467865696,0,http://www.nakajima.jp/
249,山崎 裕樹,山崎医院,6391,4198,内科,0.3918932402319816,1,https://www.sakamoto.com/
250,中島 裕美子,中島クリニック,7145,2413,内科,0.6423178995119645,1,https://www.matsuda.jp/
251,太田 裕美子,太田病院,7160,279,外科,0.5585744232933157,1,http://www.sakamoto.net/
252,鈴木 真綾,鈴木医院,888,5910,内科,0.06605623232937219,0,http://kato.jp/
253,中村 直人,中村クリニック,277,858,外科,0.1722337062946454,1,http://www.kato.jp/
254,田中 明美,田中病院,9117,9509,耳鼻科,0.3877452650600748,1,https://www.yamamoto.net/
255,吉田 零,吉田医院,3662,5815,眼科,0.4214247718469796,0,https://www.okada.net/
256,木村 裕美子,木村クリニック,506,9195,内科,0.5827995718598669,1,https://www.yamaguchi.jp/
257,加藤 知実,加藤病院,8697,8885,内科,0.7366447196685358,1,http://www.aoki.org/
258,山田 美加子,山田医院,8260,2176,外科,0.332209339919032,1,https://yamamoto.com/
259,鈴木 零,鈴木クリニック,4432,9617,内科,0.8844715785229517,0,http://www.sasaki.com/
260,山田 英樹,山田病院,7388,5675,外科,0.1714929722544286,1,http://www.nakajima.jp/
261,石川 太郎,石川医院,9283,3297,耳鼻科,0.9291441560424419,1,https://fujii.com/
262,井上 晃,井上クリニック,77,5026,眼科,0.41064603390631915,0,https://www.yamada.com/
263,岡田 裕太,岡田病院,6343,8922,内科,0.47674243054196563,1,https://www.kimura.jp/
264,渡辺 裕美子,渡辺医院,1007,5062,内科,0.2556339696219011,1,https://www.yamaguchi.com/
265,鈴木 七夏,鈴木クリニック,6293,8848,外科,0.4658774903032824,1,http://maeda.com/
266,中村 篤司,中村病院,6691,7729,内科,0.5495517807839957,0,https://tanaka.jp/
267,中村 花子,中村医院,7788,2241,外科,0.7940763870250243,1,http://inoue.com/
268,斉藤 花子,斉藤クリニック,1693,9365,耳鼻科,0.7354873009611128,1,https://www.yoshida.com/
269,池田 治,池田病院,5659,3741,眼科,0.7333254509303518,0,https://www.suzuki.jp/
270,伊藤 篤司,伊藤医院,8094,1645,内科,0.8867112996068668,1,https://kobayashi.com/
271,松本 知実,松本クリニック,5064,7742,内科,0.8764006470905256,1,http://www.nakagawa.com/
272,山本 充,山本病院,9702,5458,外科,0.7121037001997901,1,http://inoue.com/
273,清水 裕樹,清水医院,5324,4644,内科,0.7562314060375575,0,http://nakamura.com/
274,山本 七夏,山本クリニック,3587,4547,外科,0.39346125444863034,1,https://www.kobayashi.com/
275,山田 直樹,山田病院,9901,4938,耳鼻科,0.8631340469153965,1,https://yamashita.com/
276,木村 太郎,木村医院,1528,7120,眼科,0.17216897093087935,0,http://takahashi.com/
277,石井 あすか,石井クリニック,1764,2818,内科,0.8418108922914206,1,https://shimizu.jp/
278,山田 あすか,山田病院,1514,4072,内科,0.016193712916856562,1,https://www.sato.com/
279,鈴木 裕樹,鈴木医院,2027,5335,外科,0.10637968383034335,1,https://sato.org/
280,阿部 太一,阿部クリニック,2265,612,内科,0.9606669824801133,0,https://www.yamaguchi.org/
281,田中 陽子,田中病院,1066,3991,外科,0.28713576773986027,1,https://www.yamamoto.com/
282,斎藤 直人,斎藤医院,9435,6746,耳鼻科,0.08066392336539474,1,https://yamamoto.jp/
283,田中 淳,田中クリニック,3991,770,眼科,0.33322644263906886,0,http://ota.com/
284,橋本 さゆり,橋本病院,3097,2564,内科,0.6311171530321766,1,https://www.yamazaki.jp/
285,井上 あすか,井上医院,1876,2803,内科,0.7785796967940152,1,http://www.tanaka.org/
286,森 明美,森クリニック,210,248,外科,0.4798335198813718,1,https://ito.net/
287,長谷川 翼,長谷川病院,9225,7975,内科,0.30633979953016766,0,https://www.sato.org/
288,太田 治,太田医院,2613,428,外科,0.5847457324024747,1,https://kato.com/
289,青木 浩,青木クリニック,6793,2322,耳鼻科,0.8369548156844813,1,https://yoshida.jp/
290,伊藤 修平,伊藤病院,8112,1784,眼科,0.8719547750528183,0,https://yamamoto.com/
291,渡辺 明美,渡辺医院,6535,2015,内科,0.7980555304835991,1,https://www.yamashita.jp/
292,山下 充,山下クリニック,1579,8496,内科,0.9108843363882265,1,https://www.nakamura.com/
293,清水 千代,清水病院,7929,9030,外科,0.4043006207217452,1,https://kobayashi.jp/
294,鈴木 淳,鈴木医院,5666,9630,内科,0.8036428889961373,0,http://endo.jp/
